ID_Pais,Pais,Sexo,Edad,Año,Desempleo
AUT,Austria,Female,15 to 24 years old,2014,10082.0
BEL,Bélgica,Female,15 to 24 years old,2014,22335.0
BGR,Bulgaria,Female,15 to 24 years old,2014,23741.0
BLR,Bielorrusia,Female,15 to 24 years old,2014,
CHE,Suiza,Female,15 to 24 years old,2014,8562.0
CZE,República Checa,Female,15 to 24 years old,2014,17102.0
DEU,Alemania,Female,15 to 24 years old,2014,7052.0
DNK,Dinamarca,Female,15 to 24 years old,2014,12858.0
ESP,España,Female,15 to 24 years old,2014,52933.0
EST,Estonia,Female,15 to 24 years old,2014,10021.0
FIN,Finlandia,Female,15 to 24 years old,2014,18.35
FRA,Francia,Female,15 to 24 years old,2014,24227.0
GRC,Grecia,Female,15 to 24 years old,2014,58637.0
HRV,Croacia,Female,15 to 24 years old,2014,46366.0
HUN,Hungría,Female,15 to 24 years old,2014,20949.0
IRL,Irlanda,Female,15 to 24 years old,2014,19.82
ISL,Islandia,Female,15 to 24 years old,2014,6576.0
ITA,Italia,Female,15 to 24 years old,2014,44655.0
LTU,Lituania,Female,15 to 24 years old,2014,18714.0
LUX,Luxemburgo,Female,15 to 24 years old,2014,18094.0
LVA,Letonia,Female,15 to 24 years old,2014,19962.0
MKD,Macedonia del Norte,Female,15 to 24 years old,2014,55974.0
MLT,Malta,Female,15 to 24 years old,2014,9536.0
NLD,Países Bajos,Female,15 to 24 years old,2014,13077.0
NOR,Noruega,Female,15 to 24 years old,2014,6609.0
POL,Polonia,Female,15 to 24 years old,2014,25517.0
PRT,Portugal,Female,15 to 24 years old,2014,35396.0
ROU,Rumanía,Female,15 to 24 years old,2014,24695.0
SRB,Serbia,Female,15 to 24 years old,2014,49988.0
SVN,Eslovenia,Female,15 to 24 years old,2014,21255.0
SWE,Suecia,Female,15 to 24 years old,2014,21476.0
UKR,Ucrania,Female,15 to 24 years old,2014,22.39
AUT,Austria,Female,15 to 24 years old,2014,10079.0
BEL,Bélgica,Female,15 to 24 years old,2014,22316.0
BGR,Bulgaria,Female,15 to 24 years old,2014,23753.0
BLR,Bielorrusia,Female,15 to 24 years old,2014,8767.0
CHE,Suiza,Female,15 to 24 years old,2014,8563.0
CZE,República Checa,Female,15 to 24 years old,2014,17091.0
DEU,Alemania,Female,15 to 24 years old,2014,7039.0
DNK,Dinamarca,Female,15 to 24 years old,2014,12847.0
ESP,España,Female,15 to 24 years old,2014,52926.0
EST,Estonia,Female,15 to 24 years old,2014,9971.0
FIN,Finlandia,Female,15 to 24 years old,2014,18274.0
FRA,Francia,Female,15 to 24 years old,2014,24067.0
GRC,Grecia,Female,15 to 24 years old,2014,58952.0
HRV,Croacia,Female,15 to 24 years old,2014,46396.0
HUN,Hungría,Female,15 to 24 years old,2014,20905.0
IRL,Irlanda,Female,15 to 24 years old,2014,19.84
ISL,Islandia,Female,15 to 24 years old,2014,6516.0
ITA,Italia,Female,15 to 24 years old,2014,44706.0
LTU,Lituania,Female,15 to 24 years old,2014,18745.0
LUX,Luxemburgo,Female,15 to 24 years old,2014,17967.0
LVA,Letonia,Female,15 to 24 years old,2014,19951.0
MKD,Macedonia del Norte,Female,15 to 24 years old,2014,55874.0
MLT,Malta,Female,15 to 24 years old,2014,9494.0
NLD,Países Bajos,Female,15 to 24 years old,2014,13096.0
NOR,Noruega,Female,15 to 24 years old,2014,6597.0
POL,Polonia,Female,15 to 24 years old,2014,25456.0
PRT,Portugal,Female,15 to 24 years old,2014,35402.0
