,country,Code,Year,Schizophrenia,Depression,Anxiety,Bipolar,Eating
60,Albania,ALB,1990,0.2811975,2.3814309,3.659145,0.54124945,0.10373676
61,Albania,ALB,1991,0.280868,2.3822474,3.663672,0.5413307,0.10187746
62,Albania,ALB,1992,0.28062224,2.3838189,3.6683939,0.5414273,0.10027108
63,Albania,ALB,1993,0.2804561,2.387142,3.6732259,0.54153633,0.09921742
64,Albania,ALB,1994,0.2803648,2.3903685,3.6780229,0.5416542,0.098728485
65,Albania,ALB,1995,0.2803426,2.3942912,3.6827402,0.54178095,0.098616816
66,Albania,ALB,1996,0.28047624,2.4019294,3.6875575,0.541907,0.09891043
67,Albania,ALB,1997,0.28081706,2.4101064,3.6883552,0.5418636,0.099392794
68,Albania,ALB,1998,0.2812289,2.4187148,3.6893678,0.5418271,0.099780716
69,Albania,ALB,1999,0.28154427,2.4340425,3.699189,0.54215395,0.10132116
70,Albania,ALB,2000,0.28172776,2.4477215,3.7076585,0.54245573,0.10265916
71,Albania,ALB,2001,0.28181994,2.4539328,3.7104988,0.5425348,0.10415317
72,Albania,ALB,2002,0.2818834,2.4615242,3.7131746,0.54258114,0.10573936
73,Albania,ALB,2003,0.28195274,2.4676032,3.7156525,0.542598,0.10845551
74,Albania,ALB,2004,0.28206202,2.472387,3.7179503,0.5425958,0.11036979
75,Albania,ALB,2005,0.28224605,2.4724932,3.7197618,0.54257834,0.11257821
76,Albania,ALB,2006,0.28265354,2.4696515,3.723458,0.5425454,0.114303075
77,Albania,ALB,2007,0.2833063,2.462645,3.730676,0.54250324,0.116639026
78,Albania,ALB,2008,0.28405136,2.4544492,3.739848,0.54245985,0.11902477
79,Albania,ALB,2009,0.28473735,2.4469562,3.7492957,0.5424172,0.120946944
80,Albania,ALB,2010,0.28521284,2.4427185,3.75714,0.5423738,0.12297751
81,Albania,ALB,2011,0.2855792,2.4411948,3.7670379,0.54233027,0.12472777
82,Albania,ALB,2012,0.2859981,2.440708,3.7816541,0.5422916,0.12626739
83,Albania,ALB,2013,0.2864069,2.44142,3.7977457,0.5422711,0.12809084
84,Albania,ALB,2014,0.2867512,2.4422417,3.8113623,0.5422515,0.12968343
85,Albania,ALB,2015,0.28698042,2.4422338,3.8181894,0.54220194,0.13121219
86,Albania,ALB,2016,0.28713554,2.441605,3.8151882,0.542146,0.1328488
87,Albania,ALB,2017,0.28724706,2.4435818,3.8113596,0.54210234,0.13404264
88,Albania,ALB,2018,0.2873577,2.4494267,3.8191874,0.5420571,0.13548058
89,Albania,ALB,2019,0.2875006,2.4602032,3.8375373,0.5420086,0.1366484
180,Andorra,AND,1990,0.29023206,3.668154,5.32768,0.9261614,0.47371855
181,Andorra,AND,1991,0.28985038,3.6559927,5.333945,0.9257051,0.46902737
182,Andorra,AND,1992,0.28930002,3.64738,5.34781,0.92605585,0.46828973
183,Andorra,AND,1993,0.2888355,3.6373713,5.3523335,0.92562616,0.46670556
184,Andorra,AND,1994,0.2883545,3.632543,5.366859,0.92654884,0.46823892
185,Andorra,AND,1995,0.28799787,3.6310887,5.378946,0.92754626,0.47067797
186,Andorra,AND,1996,0.2877148,3.62898,5.388682,0.92819077,0.4732312
187,Andorra,AND,1997,0.2873372,3.6213713,5.387534,0.9283444,0.47484243
188,Andorra,AND,1998,0.28698432,3.6140285,5.393537,0.9286651,0.47759396
189,Andorra,AND,1999,0.28666797,3.6068432,5.397145,0.92892593,0.48011905
190,Andorra,AND,2000,0.28650168,3.601976,5.4025874,0.92951477,0.4839518
191,Andorra,AND,2001,0.28657487,3.600101,5.4112263,0.93045986,0.49034715
192,Andorra,AND,2002,0.28680837,3.5911722,5.4166856,0.9315484,0.49797443
193,Andorra,AND,2003,0.28718013,3.580245,5.418085,0.93223345,0.5055317
194,Andorra,AND,2004,0.28757557,3.567096,5.4150133,0.9324782,0.5103438
195,Andorra,AND,2005,0.28779,3.561095,5.414975,0.93285686,0.5130425
196,Andorra,AND,2006,0.28777832,3.5521357,5.405711,0.9325398,0.5138049
197,Andorra,AND,2007,0.2876476,3.5443544,5.395269,0.9325436,0.51466006
198,Andorra,AND,2008,0.28747034,3.5360482,5.3879724,0.9328454,0.51686925
199,Andorra,AND,2009,0.28725952,3.531958,5.385251,0.9333272,0.5182615
200,Andorra,AND,2010,0.28714484,3.5310767,5.3854113,0.9337075,0.51915604
201,Andorra,AND,2011,0.28702903,3.5470457,5.4123893,0.9359039,0.5203454
202,Andorra,AND,2012,0.28701997,3.5531306,5.4252,0.93590313,0.5166277
203,Andorra,AND,2013,0.28690478,3.5612671,5.44299,0.9361461,0.513501
204,Andorra,AND,2014,0.28686962,3.5669975,5.455121,0.9358926,0.51054364
205,Andorra,AND,2015,0.2868682,3.5686946,5.4587154,0.93554664,0.5076777
206,Andorra,AND,2016,0.28703368,3.5636458,5.4553576,0.9353136,0.51065004
207,Andorra,AND,2017,0.28720796,3.560528,5.453026,0.93498117,0.5153774
208,Andorra,AND,2018,0.28699273,3.574782,5.4531283,0.9348683,0.5177146
209,Andorra,AND,2019,0.28651825,3.6072073,5.45341,0.93481266,0.5208916
390,Austria,AUT,1990,0.2759298,3.6316159,5.7173142,0.90213525,0.4184564
391,Austria,AUT,1991,0.27569294,3.6203082,5.746825,0.90194654,0.42482075
392,Austria,AUT,1992,0.27548993,3.6056612,5.7715983,0.90180904,0.430044
393,Austria,AUT,1993,0.27532542,3.591711,5.7906623,0.90171635,0.43580726
394,Austria,AUT,1994,0.27520266,3.5727391,5.80268,0.901654,0.44142702
395,Austria,AUT,1995,0.27512625,3.5538495,5.8068156,0.9016231,0.44745013
396,Austria,AUT,1996,0.27511743,3.5290906,5.8021173,0.90163714,0.45364082
397,Austria,AUT,1997,0.2751634,3.4928606,5.790478,0.90166837,0.4600033
398,Austria,AUT,1998,0.27523252,3.4505806,5.7764673,0.9017106,0.4664338
399,Austria,AUT,1999,0.27529442,3.4085689,5.7643733,0.9017383,0.47292206
400,Austria,AUT,2000,0.27531537,3.3730147,5.7588873,0.9017546,0.4785858
401,Austria,AUT,2001,0.2753292,3.3421907,5.76347,0.9017828,0.48539114
402,Austria,AUT,2002,0.27537015,3.3078835,5.7752576,0.90180296,0.49294817
403,Austria,AUT,2003,0.2754227,3.2760923,5.7907057,0.9018226,0.5005945
404,Austria,AUT,2004,0.2754722,3.2449446,5.8057036,0.9018207,0.5077192
405,Austria,AUT,2005,0.27549613,3.2177966,5.8164845,0.9018031,0.51429474
406,Austria,AUT,2006,0.27552652,3.1890857,5.830372,0.90180916,0.5215775
