,country,Code,Year,Schizophrenia,Depression,Anxiety,Bipolar,Eating
89,Albania,ALB,2019,0.2875006,2.4602032,3.8375373,0.5420086,0.1366484
209,Andorra,AND,2019,0.28651825,3.6072073,5.45341,0.93481266,0.5208916
419,Austria,AUT,2019,0.27674544,3.125201,6.0064344,0.90043485,0.5622296
599,Bielorrusia,BLR,2019,0.2773241,3.824539,3.4831994,0.5208894,0.1341819
629,Bélgica,BEL,2019,0.27416807,3.5420222,5.04724,0.90031374,0.4368189
809,Bosnia y Herzegovina,BIH,2019,0.2866613,2.7624497,3.5371947,0.5489406,0.13697994
929,Bulgaria,BGR,2019,0.28809503,2.6916606,3.3973696,0.46639755,0.15696159
1439,Croacia,HRV,2019,0.29412583,3.0076077,3.5950115,0.5449874,0.169517
1499,Chipre,CYP,2019,0.27398312,3.1127021,6.4671764,0.9104203,0.40809122
1589,Dinamarca,DNK,2019,0.2413819,3.4828994,4.873904,0.94029397,0.47125348
1889,Estonia,EST,2019,0.29009965,3.6936426,3.3788164,0.5227906,0.1751613
2069,Finlandia,FIN,2019,0.264076,4.139295,3.9931211,0.8902839,0.48180753
2099,Francia,FRA,2019,0.26827893,3.835741,6.2742558,0.90416586,0.46825343
2219,Alemania,DEU,2019,0.26269624,3.3767943,6.208145,0.7469019,0.42561316
2279,Grecia,GRC,2019,0.27222666,5.0422506,5.7790413,0.90686923,0.42984423
2609,Hungría,HUN,2019,0.2914906,2.8233702,3.4067228,0.5375118,0.1835278
2639,Islandia,ISL,2019,0.27835035,2.9365938,5.1037683,0.9084446,0.4541073
2789,Irlanda,IRL,2019,0.35267243,4.2169313,6.9078193,0.701279,0.45577714
2849,Italia,ITA,2019,0.29120925,3.561658,5.5624604,0.89349115,0.54448926
3149,Letonia,LVA,2019,0.28601405,3.7478287,3.748034,0.5201065,0.1660531
3299,Lituania,LTU,2019,0.2884198,3.9911947,4.2541876,0.5211538,0.17335068
3389,Luxemburgo,LUX,2019,0.2819182,3.2193074,5.2770224,0.896122,0.5688226
3569,Malta,MLT,2019,0.27710927,3.1311812,6.2475963,0.9121692,0.42228425
3749,Moldavia,MDA,2019,0.26885495,3.22074,4.078755,0.5182467,0.10844338
3779,Mónaco,MCO,2019,0.29540223,4.0564504,5.501611,0.90075177,0.8699128
3839,Montenegro,MNE,2019,0.2888891,2.8178656,3.6586478,0.54094183,0.15447724
4049,Países Bajos,NLD,2019,0.36796945,3.5344012,6.7548013,0.78764594,0.38367063
4259,Macedonia del Norte,MKD,2019,0.28765607,2.570906,3.5915322,0.5418609,0.14246428
4319,Noruega,NOR,2019,0.28272113,3.2382026,6.7358413,0.8286233,0.47473136
4619,Polonia,POL,2019,0.2945265,2.2779574,3.082497,0.5506919,0.18609495
4649,Portugal,PRT,2019,0.26907453,4.3940663,8.02761,0.87302935,0.42184258
4739,Rumanía,ROU,2019,0.28902072,2.6501622,3.2856169,0.6372142,0.16204906
4769,Rusia,RUS,2019,0.281813,3.0799155,3.1336958,0.51406276,0.16156821
4949,San Marino,SMR,2019,0.28010872,4.0918827,5.542622,0.9189005,0.50515896
5069,Serbia,SRB,2019,0.28505,2.814907,3.33539,0.540287,0.14359924
5189,Eslovaquia,SVK,2019,0.29567876,2.695262,3.4256656,0.54230446,0.18270175
5219,Eslovenia,SVN,2019,0.2995073,3.1152232,3.3891728,0.5467665,0.1849328
5399,España,ESP,2019,0.2656171,4.704455,4.8611727,0.92482716,0.59025174
5519,Suecia,SWE,2019,0.27025598,4.116486,4.795127,0.97393054,0.51417124
5549,Suiza,CHE,2019,0.2799828,3.705447,6.79061,0.9417426,0.4910716
5999,Ucrania,UKR,2019,0.27143335,3.8973033,3.133128,0.5213342,0.121123455
6059,Reino Unido,GBR,2019,0.24625693,4.0975676,4.4602027,1.0944765,0.4250394
