ID_Pais,Pais,Sexo,Edad,Desempleo
AUT,Austria,Female,15 to 24 years old,7944.0
BEL,Belgium,Female,15 to 24 years old,12275.0
BGR,Bulgaria,Female,15 to 24 years old,8322.0
BLR,Belarus,Female,15 to 24 years old,7344.0
CHE,Switzerland,Female,15 to 24 years old,7166.0
CZE,Czechia,Female,15 to 24 years old,5999.0
DEU,Germany,Female,15 to 24 years old,4756.0
DNK,Denmark,Female,15 to 24 years old,9733.0
ESP,Spain,Female,15 to 24 years old,34474.0
EST,Estonia,Female,15 to 24 years old,12098.0
FIN,Finland,Female,15 to 24 years old,15.63
FRA,France,Female,15 to 24 years old,18962.0
GRC,Greece,Female,15 to 24 years old,37243.0
HRV,Croatia,Female,15 to 24 years old,19783.0
HUN,Hungary,Female,15 to 24 years old,10606.0
IRL,Ireland,Female,15 to 24 years old,10592.0
ISL,Iceland,Female,15 to 24 years old,5576.0
ITA,Italy,Female,15 to 24 years old,31216.0
LTU,Lithuania,Female,15 to 24 years old,9251.0
LUX,Luxembourg,Female,15 to 24 years old,15996.0
LVA,Latvia,Female,15 to 24 years old,10134.0
MKD,North Macedonia,Female,15 to 24 years old,39121.0
MLT,Malta,Female,15 to 24 years old,7.98
NLD,Netherlands,Female,15 to 24 years old,6189.0
NOR,Norway,Female,15 to 24 years old,9.51
POL,Poland,Female,15 to 24 years old,10261.0
PRT,Portugal,Female,15 to 24 years old,21423.0
ROU,Romania,Female,15 to 24 years old,17.45
SRB,Serbia,Female,15 to 24 years old,29936.0
SVN,Slovenia,Female,15 to 24 years old,9166.0
SWE,Sweden,Female,15 to 24 years old,19702.0
UKR,Ukraine,Female,15 to 24 years old,15325.0
AUT,Austria,Female,15 to 24 years old,7934.0
BEL,Belgium,Female,15 to 24 years old,12.31
BGR,Bulgaria,Female,15 to 24 years old,8296.0
BLR,Belarus,Female,15 to 24 years old,7.39
CHE,Switzerland,Female,15 to 24 years old,7159.0
CZE,Czechia,Female,15 to 24 years old,6021.0
DEU,Germany,Female,15 to 24 years old,4767.0
DNK,Denmark,Female,15 to 24 years old,9726.0
ESP,Spain,Female,15 to 24 years old,34469.0
EST,Estonia,Female,15 to 24 years old,11733.0
FIN,Finland,Female,15 to 24 years old,15563.0
FRA,France,Female,15 to 24 years old,18867.0
GRC,Greece,Female,15 to 24 years old,37335.0
HRV,Croatia,Female,15 to 24 years old,19.83
HUN,Hungary,Female,15 to 24 years old,10596.0
IRL,Ireland,Female,15 to 24 years old,10616.0
ISL,Iceland,Female,15 to 24 years old,5.49
ITA,Italy,Female,15 to 24 years old,31222.0
LTU,Lithuania,Female,15 to 24 years old,9246.0
LUX,Luxembourg,Female,15 to 24 years old,16016.0
LVA,Latvia,Female,15 to 24 years old,10131.0
MKD,North Macedonia,Female,15 to 24 years old,38847.0
MLT,Malta,Female,15 to 24 years old,7972.0
NLD,Netherlands,Female,15 to 24 years old,6205.0
NOR,Norway,Female,15 to 24 years old,9491.0
POL,Poland,Female,15 to 24 years old,10236.0
PRT,Portugal,Female,15 to 24 years old,21.41
ROU,Romania,Female,15 to 24 years old,17534.0
SRB,Serbia,Female,15 to 24 years old,29907.0
SVN,Slovenia,Female,15 to 24 years old,9172.0
SWE,Sweden,Female,15 to 24 years old,19735.0
UKR,Ukraine,Female,15 to 24 years old,15365.0
AUT,Austria,Male,15 to 24 years old,9518.0
BEL,Belgium,Male,15 to 24 years old,15961.0
BGR,Bulgaria,Male,15 to 24 years old,9296.0
BLR,Belarus,Male,15 to 24 years old,12876.0
CHE,Switzerland,Male,15 to 24 years old,8796.0
CZE,Czechia,Male,15 to 24 years old,5354.0
DEU,Germany,Male,15 to 24 years old,6596.0
DNK,Denmark,Male,15 to 24 years old,10376.0
ESP,Spain,Male,15 to 24 years old,30922.0
EST,Estonia,Male,15 to 24 years old,11229.0
FIN,Finland,Male,15 to 24 years old,18737.0
FRA,France,Male,15 to 24 years old,21091.0
GRC,Greece,Male,15 to 24 years old,32763.0
HRV,Croatia,Male,15 to 24 years old,14526.0
HUN,Hungary,Male,15 to 24 years old,11949.0
IRL,Ireland,Male,15 to 24 years old,14177.0
ISL,Iceland,Male,15 to 24 years old,11833.0
ITA,Italy,Male,15 to 24 years old,27751.0
LTU,Lithuania,Male,15 to 24 years old,14.12
LUX,Luxembourg,Male,15 to 24 years old,17777.0
LVA,Latvia,Male,15 to 24 years old,14214.0
MKD,North Macedonia,Male,15 to 24 years old,33628.0
MLT,Malta,Male,15 to 24 years old,10525.0
NLD,Netherlands,Male,15 to 24 years old,7267.0
